Name,Price,Change Rate,24hr Hour volume,Market Cap
Bitcoin,"$17,132.64",-0.49%,$326.72 B,$19.19 B
Ethereum,"$1,267.46",-0.87%,$153.28 B,$5.22 B
Tether,$1.02,+0.00%,$65.58 B,$25.4 B
BNB,$292.88,-0.74%,$46.17 B,$575.09 M
USD Coin,$1.00,+0.01%,$43.28 B,$2.19 B
Binance USD,$0.9998,-0.03%,$22.1 B,$5.4 B
XRP,$0.396,-0.67%,$19.53 B,$876.12 M
Dogecoin,$0.1016,-2.80%,$13.27 B,$586.03 M
Cardano,$0.3214,-1.62%,$10.91 B,$173.55 M
Polygon,$0.9188,-1.43%,$7.9 B,$253.11 M
Polkadot,$5.56,-1.37%,$6.27 B,$160.67 M
Litecoin,$80.70,-2.86%,$5.7 B,$629.11 M
Dai,$1.02,-0.04%,$5.68 B,$165.98 M
Wrapped TRON,$0.05323,-0.27%,$5.41 B,"$592,215"
Shiba Inu,$0.000009556,-1.55%,$5.13 B,$116.38 M
Solana,$14.63,+1.65%,$5.08 B,$308.32 M
HEX,$0.0289,-1.51%,$5.01 B,$3.53 M
TRON,$0.05325,-0.34%,$4.9 B,$181.16 M
Uniswap,$6.31,-0.53%,$4.72 B,$73.91 M
Lido stETH,"$1,221.34",-0.61%,$4.26 B,$26.49 M
Avalanche,$13.79,-1.78%,$4.21 B,$138.85 M
UNUS SED LEO,$3.87,+0.11%,$3.69 B,$3.07 M
Chainlink,$7.36,-1.46%,$3.68 B,$213.43 M
Wrapped Bitcoin,"$17,201.22",-0.62%,$3.56 B,$70.94 M
Cosmos,$10.29,-2.28%,$2.89 B,$122.98 M
Ethereum Classic,$19.78,-0.99%,$2.68 B,$92.68 M
Monero,$142.61,-1.25%,$2.6 B,$75.19 M
Stellar,$0.08726,-1.70%,$2.21 B,$40.64 M
Toncoin,$1.80,-2.11%,$2.2 B,$7.25 M
Bitcoin Cash,$113.40,-1.98%,$2.14 B,$163.43 M
Cronos,$0.0668,-3.69%,$1.68 B,$32.81 M
Algorand,$0.2363,-3.23%,$1.66 B,$50.8 M
Filecoin,$4.72,+1.08%,$1.52 B,$93.11 M
Quant,$126.24,-1.70%,$1.49 B,$39.48 M
ApeCoin,$4.15,+0.24%,$1.48 B,$194.29 M
NEAR Protocol,$1.79,+1.36%,$1.47 B,$77.39 M
VeChain,$0.01965,-0.32%,$1.39 B,$26.66 M
OKB,$21.22,-1.70%,$1.27 B,$11.96 M
Internet Computer,$4.56,+0.51%,$1.23 B,$22.57 M
Flow,$1.12,-1.08%,$1.14 B,$31.92 M
Hedera,$0.05056,-1.00%,$1.1 B,$10.92 M
Wrapped BNB,$288.98,-0.65%,$1.1 B,$61.62 M
Elrond,$44.46,+1.73%,$1.04 B,$23.27 M
EOS,$0.9923,+3.54%,$1.04 B,$101.76 M
Luna Classic,$0.000189,-1.15%,$1.03 B,$79.54 M
Huobi Token,$6.64,+0.09%,$1.02 B,$12.06 M
Frax,$0.9935,-0.20%,$1.01 B,$5.2 M
Chiliz,$0.1643,-1.05%,$989.93 M,$126.8 M
Trust Wallet Token,$2.31,-3.12%,$962.44 M,$49.09 M
Pax Dollar,$1,+0.03%,$945.6 M,$1.37 M
